STATE_ABBREV,COUNTY_NAME,Dem_Percent,Rep_Percent,Dem_VoteCnt,Rep_VoteCnt
CT,Stonington,0.626,0.359,7379,4224
CT,Stratford,0.585,0.403,15708,10812
CT,Suffield,0.482,0.501,4164,4331
CT,Thomaston,0.325,0.662,1436,2922
CT,Thompson,0.365,0.623,1800,3077
CT,Tolland,0.527,0.454,4865,4193
CT,Torrington,0.422,0.563,6881,9168
CT,Trumbull,0.516,0.466,11294,10202
CT,Union,0.418,0.56,235,315
CT,Vernon,0.581,0.401,8723,6020
CT,Voluntown,0.373,0.603,575,929
CT,Wallingford,0.505,0.478,12465,11812
CT,Warren,0.507,0.483,487,464
CT,Washington,0.654,0.333,1456,742
CT,Waterbury,0.548,0.44,18328,14723
CT,Waterford,0.544,0.439,6507,5258
CT,Watertown,0.342,0.644,4307,8102
CT,West Hartford,0.74,0.24,26254,8494
CT,West Haven,0.6,0.387,12310,7949
CT,Westbrook,0.515,0.474,2178,2006
CT,Weston,0.692,0.289,4294,1797
CT,Westport,0.714,0.272,11769,4476
CT,Wethersfield,0.566,0.415,8807,6462
CT,Willington,0.468,0.509,1489,1620
CT,Wilton,0.644,0.337,7054,3689
CT,Winchester,0.427,0.555,2310,3000
CT,Windham,0.588,0.39,4718,3127
CT,Windsor,0.732,0.249,12280,4176
CT,Windsor Locks,0.509,0.474,3402,3169
CT,Wolcott,0.33,0.655,3189,6343
CT,Woodbridge,0.648,0.332,3515,1800
CT,Woodbury,0.479,0.508,3091,3278
CT,Woodstock,0.474,0.51,2451,2639
DE,Kent,0.501,0.481,44222,42458
DE,New Castle,0.653,0.328,180700,90868
DE,Sussex,0.439,0.548,64836,81025
DC,Ward 1,0.911,0.051,36882,2056
DC,Ward 2,0.884,0.079,33571,2982
DC,Ward 3,0.886,0.079,39521,3544
DC,Ward 4,0.911,0.059,38628,2511
DC,Ward 5,0.918,0.051,41413,2309
DC,Ward 6,0.889,0.075,43262,3638
DC,Ward 7,0.917,0.056,33972,2092
DC,Ward 8,0.909,0.066,26936,1944
FL,Alachua,0.597,0.388,81578,52939
FL,Baker,0.132,0.863,1982,12926
FL,Bay,0.258,0.731,25201,71497
FL,Bradford,0.211,0.784,2946,10920
FL,Brevard,0.391,0.599,141233,216533
FL,Broward,0.58,0.41,507328,358952
FL,Calhoun,0.159,0.835,1021,5367
FL,Charlotte,0.327,0.667,40450,82480
FL,Citrus,0.267,0.726,26276,71356
FL,Clay,0.299,0.692,37926,87711
FL,Collier,0.331,0.662,71720,143267
FL,Columbia,0.246,0.747,8250,25108
FL,DeSoto,0.282,0.712,3525,8888
FL,Dixie,0.145,0.849,1183,6920
FL,Duval,0.487,0.501,229365,236285
FL,Escambia,0.397,0.592,64601,96407
FL,Flagler,0.356,0.638,28431,51014
FL,Franklin,0.277,0.715,1870,4831
FL,Gadsden,0.649,0.343,14203,7495
FL,Gilchrist,0.155,0.836,1662,8931
FL,Glades,0.231,0.764,1222,4034
FL,Gulf,0.226,0.769,1970,6684
FL,Hamilton,0.301,0.691,1727,3964
FL,Hardee,0.215,0.778,1751,6336
FL,Hendry,0.304,0.687,4096,9253
FL,Hernando,0.311,0.682,34431,75446
FL,Highlands,0.293,0.701,15227,36382
FL,Hillsborough,0.478,0.509,321455,342017
FL,Holmes,0.097,0.899,882,8193
FL,Indian River,0.36,0.634,35654,62737
FL,Jackson,0.267,0.727,5892,16074
FL,Jefferson,0.403,0.589,3429,5011
FL,Lafayette,0.117,0.877,441,3296
FL,Lake,0.373,0.619,84546,140500
FL,Lee,0.355,0.639,139240,250661
FL,Leon,0.603,0.385,94520,60397
FL,Levy,0.246,0.748,5994,18245
FL,Liberty,0.162,0.83,566,2898
FL,Madison,0.353,0.641,3231,5874
FL,Manatee,0.379,0.614,86674,140486
FL,Marion,0.338,0.655,72436,140173
FL,Martin,0.341,0.652,33539,64121
FL,Miami-Dade,0.439,0.554,480355,605590
FL,Monroe,0.405,0.588,17933,26064
FL,Nassau,0.261,0.731,17143,47945
FL,Okaloosa,0.282,0.707,32074,80309
FL,Okeechobee,0.229,0.767,3671,12315
FL,Orange,0.561,0.425,340807,258279
FL,Osceola,0.487,0.502,84205,86713
FL,Palm Beach,0.5,0.492,372512,366836
FL,Pasco,0.369,0.621,117450,197779
FL,Pinellas,0.469,0.521,242452,269472
FL,Polk,0.392,0.599,136879,209044
FL,Putnam,0.258,0.736,9354,26700
FL,Santa Rosa,0.24,0.75,27035,84314
FL,Sarasota,0.405,0.587,112668,163219
FL,Seminole,0.476,0.511,120717,129735
FL,St. Johns,0.338,0.652,66862,128759
FL,St. Lucie,0.451,0.542,83517,100293
FL,Sumter,0.309,0.686,32551,72134
FL,Suwannee,0.193,0.802,4217,17561
FL,Taylor,0.199,0.796,1991,7954
FL,Union,0.156,0.838,971,5224
FL,Volusia,0.387,0.604,120132,187691
FL,Wakulla,0.274,0.717,5441,14246
FL,Walton,0.207,0.786,10287,38970
FL,Washington,0.17,0.824,2140,10370
GA,Appling,0.187,0.811,1560,6761
GA,Atkinson,0.229,0.769,700,2350
GA,Bacon,0.133,0.865,645,4186
GA,Baker,0.4,0.598,590,883
GA,Baldwin,0.486,0.509,9159,9574
GA,Banks,0.108,0.89,1136,9358
GA,Barrow,0.295,0.699,12949,30730
GA,Bartow,0.242,0.752,13942,43271
GA,Ben Hill,0.338,0.659,2199,4281
GA,Berrien,0.15,0.848,1209,6841
